"행정구역별(시군구)","항목","단위","2016 년",
"전국","총인구","","51269554",
"전국","남자","","25696987",
"전국","여자","","25572567",
"전국","내국인-계","","49855796",
"전국","내국인-남자","","24881520",
"전국","내국인-여자","","24974276",
"전국","외국인-계","","1413758",
"전국","외국인-남자","","815467",
"전국","외국인-여자","","598291",
"전국","가구-계","","19837665",
"전국","일반가구","","19367696",
"전국","집단가구","","12968",
"전국","외국인가구","","457001",
"전국","주택-계","","16692230",
"전국","단독주택","","3967776",
"전국","아파트","","10029644",
"전국","연립주택","","492469",
"전국","다세대주택","","2000783",
"전국","비거주용 건물내 주택","","201558",
"전국","주택이외의 거처","","691672",
"읍부","총인구","","4707855",
"읍부","남자","","2410964",
"읍부","여자","","2296891",
"읍부","내국인-계","","4548051",
"읍부","내국인-남자","","2305977",
"읍부","내국인-여자","","2242074",
"읍부","외국인-계","","159804",
"읍부","외국인-남자","","104987",
"읍부","외국인-여자","","54817",
"읍부","가구-계","","1792689",
"읍부","일반가구","","1746762",
"읍부","집단가구","","1846",
"읍부","외국인가구","","44081",
"읍부","주택-계","","1673803",
"읍부","단독주택","","551606",
"읍부","아파트","","903764",
"읍부","연립주택","","68597",
"읍부","다세대주택","","123194",
"읍부","비거주용 건물내 주택","","26642",
"읍부","주택이외의 거처","","58323",
"면부","총인구","","4793569",
"면부","남자","","2472341",
"면부","여자","","2321228",
"면부","내국인-계","","4556905",
"면부","내국인-남자","","2301931",
"면부","내국인-여자","","2254974",
"면부","외국인-계","","236664",
"면부","외국인-남자","","170410",
"면부","외국인-여자","","66254",
"면부","가구-계","","2016031",
"면부","일반가구","","1958876",
"면부","집단가구","","3298",
"면부","외국인가구","","53857",
"면부","주택-계","","2012868",
"면부","단독주택","","1525378",
"면부","아파트","","359250",
"면부","연립주택","","32994",
"면부","다세대주택","","65807",
"면부","비거주용 건물내 주택","","29439",
"면부","주택이외의 거처","","91210",
"동부","총인구","","41768130",
"동부","남자","","20813682",
"동부","여자","","20954448",
"동부","내국인-계","","40750840",
"동부","내국인-남자","","20273612",
"동부","내국인-여자","","20477228",
"동부","외국인-계","","1017290",
"동부","외국인-남자","","540070",
"동부","외국인-여자","","477220",
"동부","가구-계","","16028945",
"동부","일반가구","","15662058",
"동부","집단가구","","7824",
"동부","외국인가구","","359063",
"동부","주택-계","","13005559",
"동부","단독주택","","1890792",
"동부","아파트","","8766630",
"동부","연립주택","","390878",
"동부","다세대주택","","1811782",
"동부","비거주용 건물내 주택","","145477",
"동부","주택이외의 거처","","542139",
"서울특별시","총인구","","9805506",
"서울특별시","남자","","4799115",
"서울특별시","여자","","5006391",
"서울특별시","내국인-계","","9470339",
"서울특별시","내국인-남자","","4636374",
"서울특별시","내국인-여자","","4833965",
"서울특별시","외국인-계","","335167",
"서울특별시","외국인-남자","","162741",
"서울특별시","외국인-여자","","172426",
"서울특별시","가구-계","","3915023",
"서울특별시","일반가구","","3784705",
"서울특별시","집단가구","","1817",
"서울특별시","외국인가구","","128501",
"서울특별시","주택-계","","2830857",
"서울특별시","단독주택","","345269",
"서울특별시","아파트","","1641383",
"서울특별시","연립주택","","116106",
"서울특별시","다세대주택","","699446",
"서울특별시","비거주용 건물내 주택","","28653",
"서울특별시","주택이외의 거처","","166859",
"종로구","총인구","","154398",
"종로구","남자","","75620",
"종로구","여자","","78778",
"종로구","내국인-계","","144049",
"종로구","내국인-남자","","70844",
"종로구","내국인-여자","","73205",
"종로구","외국인-계","","10349",
