"행정구역별(시군구)","항목","단위","2010 년",
"전국","총인구","","48580293",
"전국","남자","","24167098",
"전국","여자","","24413195",
"전국","총내국인","","47990761",
"전국","남자","","23840896",
"전국","여자","","24149865",
"전국","총외국인","","589532",
"전국","남자","","326202",
"전국","여자","","263330",
"서울특별시","총인구","","9794304",
"서울특별시","남자","","4803373",
"서울특별시","여자","","4990931",
"서울특별시","총내국인","","9631482",
"서울특별시","남자","","4726028",
"서울특별시","여자","","4905454",
"서울특별시","총외국인","","162822",
"서울특별시","남자","","77345",
"서울특별시","여자","","85477",
"종로구","총인구","","155575",
"종로구","남자","","76408",
"종로구","여자","","79167",
"종로구","총내국인","","151069",
"종로구","남자","","74331",
"종로구","여자","","76738",
"종로구","총외국인","","4506",
"종로구","남자","","2077",
"종로구","여자","","2429",
"중구","총인구","","121144",
"중구","남자","","59974",
"중구","여자","","61170",
"중구","총내국인","","117253",
"중구","남자","","58125",
"중구","여자","","59128",
"중구","총외국인","","3891",
"중구","남자","","1849",
"중구","여자","","2042",
"용산구","총인구","","227400",
"용산구","남자","","109321",
"용산구","여자","","118079",
"용산구","총내국인","","217228",
"용산구","남자","","104156",
"용산구","여자","","113072",
"용산구","총외국인","","10172",
"용산구","남자","","5165",
"용산구","여자","","5007",
"성동구","총인구","","296135",
"성동구","남자","","146608",
"성동구","여자","","149527",
"성동구","총내국인","","290277",
"성동구","남자","","143855",
"성동구","여자","","146422",
"성동구","총외국인","","5858",
"성동구","남자","","2753",
"성동구","여자","","3105",
"광진구","총인구","","368021",
"광진구","남자","","179711",
"광진구","여자","","188310",
"광진구","총내국인","","358319",
"광진구","남자","","175344",
"광진구","여자","","182975",
"광진구","총외국인","","9702",
"광진구","남자","","4367",
"광진구","여자","","5335",
"동대문구","총인구","","346770",
"동대문구","남자","","172136",
"동대문구","여자","","174634",
"동대문구","총내국인","","339599",
"동대문구","남자","","168991",
"동대문구","여자","","170608",
"동대문구","총외국인","","7171",
"동대문구","남자","","3145",
"동대문구","여자","","4026",
"중랑구","총인구","","403105",
"중랑구","남자","","198985",
"중랑구","여자","","204120",
"중랑구","총내국인","","400027",
"중랑구","남자","","197674",
"중랑구","여자","","202353",
"중랑구","총외국인","","3078",
"중랑구","남자","","1311",
"중랑구","여자","","1767",
"성북구","총인구","","457570",
"성북구","남자","","223518",
"성북구","여자","","234052",
"성북구","총내국인","","452704",
"성북구","남자","","221374",
"성북구","여자","","231330",
"성북구","총외국인","","4866",
"성북구","남자","","2144",
"성북구","여자","","2722",
"강북구","총인구","","324413",
"강북구","남자","","158689",
"강북구","여자","","165724",
"강북구","총내국인","","322587",
"강북구","남자","","158027",
"강북구","여자","","164560",
"강북구","총외국인","","1826",
"강북구","남자","","662",
"강북구","여자","","1164",
"도봉구","총인구","","348625",
"도봉구","남자","","170761",
"도봉구","여자","","177864",
"도봉구","총내국인","","347220",
"도봉구","남자","","170210",
"도봉구","여자","","177010",
"도봉구","총외국인","","1405",
"도봉구","남자","","551",
"도봉구","여자","","854",
"노원구","총인구","","587248",
"노원구","남자","","286386",
"노원구","여자","","300862",
"노원구","총내국인","","584906",
"노원구","남자","","285461",
"노원구","여자","","299445",
"노원구","총외국인","","2342",
"노원구","남자","","925",
"노원구","여자","","1417",
"은평구","총인구","","450583",
"은평구","남자","","219881",
"은평구","여자","","230702",
"은평구","총내국인","","448112",
"은평구","남자","","218864",
"은평구","여자","","229248",
"은평구","총외국인","","2471",
"은평구","남자","","1017",
"은평구","여자","","1454",
"서대문구","총인구","","313814",
"서대문구","남자","","151125",
"서대문구","여자","","162689",
"서대문구","총내국인","","307562",
"서대문구","남자","","148501",
"서대문구","여자","","159061",
"서대문구","총외국인","","6252",
"서대문구","남자","","2624",
"서대문구","여자","","3628",
"마포구","총인구","","369432",
"마포구","남자","","177353",
"마포구","여자","","192079",
"마포구","총내국인","","363343",
"마포구","남자","","174405",
"마포구","여자","","188938",
"마포구","총외국인","","6089",
"마포구","남자","","2948",
"마포구","여자","","3141",
"양천구","총인구","","469434",
"양천구","남자","","231595",
"양천구","여자","","237839",
"양천구","총내국인","","466456",
"양천구","남자","","230301",
"양천구","여자","","236155",
"양천구","총외국인","","2978",
"양천구","남자","","1294",
"양천구","여자","","1684",
"강서구","총인구","","546938",
"강서구","남자","","267246",
"강서구","여자","","279692",
"강서구","총내국인","","543559",
"강서구","남자","","265856",
"강서구","여자","","277703",
"강서구","총외국인","","3379",
"강서구","남자","","1390",
"강서구","여자","","1989",
"구로구","총인구","","417339",
"구로구","남자","","209430",
"구로구","여자","","207909",
"구로구","총내국인","","401239",
"구로구","남자","","200713",
"구로구","여자","","200526",
"구로구","총외국인","","16100",
"구로구","남자","","8717",
"구로구","여자","","7383",
"금천구","총인구","","242510",
"금천구","남자","","123007",
"금천구","여자","","119503",
"금천구","총내국인","","230447",
"금천구","남자","","116529",
"금천구","여자","","113918",
"금천구","총외국인","","12063",
"금천구","남자","","6478",
"금천구","여자","","5585",
"영등포구","총인구","","396243",
"영등포구","남자","","197600",
"영등포구","여자","","198643",
"영등포구","총내국인","","374543",
"영등포구","남자","","186507",
"영등포구","여자","","188036",
"영등포구","총외국인","","21700",
"영등포구","남자","","11093",
"영등포구","여자","","10607",
"동작구","총인구","","397317",
"동작구","남자","","195641",
"동작구","여자","","201676",
"동작구","총내국인","","390197",
"동작구","남자","","192429",
"동작구","여자","","197768",
"동작구","총외국인","","7120",
"동작구","남자","","3212",
"동작구","여자","","3908",
"관악구","총인구","","520849",
"관악구","남자","","261964",
"관악구","여자","","258885",
"관악구","총내국인","","511185",
"관악구","남자","","257548",
"관악구","여자","","253637",
"관악구","총외국인","","9664",
"관악구","남자","","4416",
"관악구","여자","","5248",
"서초구","총인구","","393270",
"서초구","남자","","188932",
"서초구","여자","","204338",
"서초구","총내국인","","388220",
"서초구","남자","","186678",
"서초구","여자","","201542",
"서초구","총외국인","","5050",
"서초구","남자","","2254",
"서초구","여자","","2796",
"강남구","총인구","","527641",
"강남구","남자","","250957",
"강남구","여자","","276684",
"강남구","총내국인","","522198",
"강남구","남자","","248319",
"강남구","여자","","273879",
"강남구","총외국인","","5443",
"강남구","남자","","2638",
"강남구","여자","","2805",
"송파구","총인구","","646970",
"송파구","남자","","314787",
"송파구","여자","","332183",
"송파구","총내국인","","640732",
"송파구","남자","","311991",
"송파구","여자","","328741",
"송파구","총외국인","","6238",
"송파구","남자","","2796",
"송파구","여자","","3442",
"강동구","총인구","","465958",
"강동구","남자","","231358",
"강동구","여자","","234600",
"강동구","총내국인","","462500",
"강동구","남자","","229839",
"강동구","여자","","232661",
"강동구","총외국인","","3458",
"강동구","남자","","1519",
"강동구","여자","","1939",
"부산광역시","총인구","","3414950",
"부산광역시","남자","","1676689",
"부산광역시","여자","","1738261",
"부산광역시","총내국인","","3393191",
"부산광역시","남자","","1664678",
"부산광역시","여자","","1728513",
"부산광역시","총외국인","","21759",
"부산광역시","남자","","12011",
"부산광역시","여자","","9748",
"중구","총인구","","48197",
"중구","남자","","23626",
"중구","여자","","24571",
"중구","총내국인","","47260",
"중구","남자","","22983",
"중구","여자","","24277",
