"보육시설별","항목","단위","2013 년",
"계","어린이집수[개소]","개소","42527",
"계","어린이집수 이용률[%]","%","100",
"계","아동수[명]","명","1487361",
"계","아동수 이용률[%]","%","100",
"국공립","어린이집수[개소]","개소","2203",
"국공립","어린이집수 이용률[%]","%","5.5",
"국공립","아동수[명]","명","149677",
"국공립","아동수 이용률[%]","%","10.1",
"법인","어린이집수[개소]","개소","1444",
"법인","어린이집수 이용률[%]","%","3.4",
"법인","아동수[명]","명","113049",
"법인","아동수 이용률[%]","%","7.6",
"민간보육","어린이집수[개소]","개소","15309",
"민간보육","어린이집수 이용률[%]","%","36",
"민간보육","아동수[명]","명","820170",
"민간보육","아동수 이용률[%]","%","55.1",
"법인외","어린이집수[개소]","개소","869",
"법인외","어린이집수 이용률[%]","%","2",
"법인외","아동수[명]","명","51914",
"법인외","아동수 이용률[%]","%","3.5",
"개인","어린이집수[개소]","개소","14440",
"개인","어린이집수 이용률[%]","%","34",
"개인","아동수[명]","명","768256",
"개인","아동수 이용률[%]","%","51.7",
"부모협동","어린이집수[개소]","개소","113",
"부모협동","어린이집수 이용률[%]","%",".3",
"부모협동","아동수[명]","명","2913",
"부모협동","아동수 이용률[%]","%",".2",
"가정보육","어린이집수[개소]","개소","22935",
"가정보육","어린이집수 이용률[%]","%","53.9",
"가정보육","아동수[명]","명","371671",
"가정보육","아동수 이용률[%]","%","25",
"직장","어린이집수[개소]","개소","523",
"직장","어린이집수 이용률[%]","%","1.2",
"직장","아동수[명]","명","29881",
"직장","아동수 이용률[%]","%","2",
