시군명,시설명,전화번호,지정일자,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
파주시,나눔내과의원,031-957-5966,2016-06-14,10907,경기도 파주시 야당동 1006-7번지 신운정프라자2 301호,경기도 파주시 와석순환로 70,126.7514813,37.710472
화성시,나라의원,031-238-9234,2012-11-30,18321,경기도 화성시 봉담읍 와우리 31-1번지 남수원타운 201호,경기도 화성시 봉담읍 와우로 79,126.9745706,37.2139078
광주시,나래의원,031-764-7525,2012-04-02,12800,경기도 광주시 곤지암읍 삼리 134-9번지 삼리 134-9,경기도 광주시 곤지암읍 평촌길 36,127.3256395,37.3563737
하남시,나룰소아청소년과의원,031-795-1175,2014-04-04,12927,경기도 하남시 덕풍동 741번지 푸르지오시티 204호,경기도 하남시 덕풍동로 111-33,127.2081104,37.5524049
김포시,나리병원,031-982-5700,2009-02-27,10108,경기도 김포시 사우동 201-38번지,경기도 김포시 돌문로 99,126.7126897,37.6218812
수원시,나무소아청소년과의원,031-234-9116,2010-11-02,16581,경기도 수원시 권선구 권선동 1062-1번지 2층,경기도 수원시 권선구 세권로 188,127.0246371,37.2552667
양주시,나무정원산부인과의원,031-859-1231,2012-03-14,11440,경기도 양주시 덕계동 513-14번지,경기도 양주시 평화로1489번길 19-11,127.0484268,37.8226385
성남시,나우리가정의학과의원,031-707-5975,2015-05-06,13586,경기도 성남시 분당구 서현동 305-3번지 분당빌딩 2층,경기도 성남시 분당구 돌마로476번길 41,127.1360691,37.3744529
시흥시,나이비인후과의원,031-312-3575,2010-10-30,14951,경기도 시흥시 신천동 883-8번지 가나빌딩 2층,경기도 시흥시 시흥대로 1075,126.792684,37.4318253
용인시,남사연합의원,031-336-7561,2014-01-23,17118,경기도 용인시 처인구 남사면 봉무리 664-3번지 2층 남사연합의원,경기도 용인시 처인구 남사면 내기로 11,127.1497766,37.1138944
이천시,남선희산부인과의원,031-636-1555,2016-06-14,17377,경기도 이천시 중리동 227번지,경기도 이천시 이섭대천로 1185,127.446684,37.2759624
광명시,남성지소아과의원,02-2685-1204,2009-02-27,14291,경기도 광명시 광명동 290-14번지 3층4호,경기도 광명시 광명로 841,126.8516561,37.4742354
화성시,남양뉴타운외과의원,031-366-7252,2013-05-24,18271,경기도 화성시 남양읍 남양리 2072-4번지 한국프라자 3층,경기도 화성시 남양읍 시청로 109,126.8257884,37.2011463
화성시,남양박내과의원,031-356-0533,2013-06-04,18261,경기도 화성시 남양읍 남양리 1172-4번지 국제포인트프라자 303호,경기도 화성시 남양읍 남양성지로 123,126.8171768,37.2081342
