시군명,구/읍면동명,시설명,전화번호,시설구분명,공사립구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
가평군,설악면,리틀동화마을어린이집,031-584-2513,어린이집,가정,12465,경기도 가평군 설악면 신천리 423-4번지 에코빌 나동 102호,경기도 가평군 설악면 신천중앙로120번길 20-39 에코빌 나동 102호,127.4928725,37.6796251
가평군,청평면,상천에덴유치원,031-581-0079,유치원,사립,12449,경기도 가평군 청평면 상천리 298-3번지 상천에덴어린이집,경기도 가평군 청평면 경춘로 1410,127.4620604,37.7757144
가평군,청평면,동산유치원,031-584-6057,유치원,사립,12452,경기도 가평군 청평면 청평리 470-12번지 청평장로교회,경기도 가평군 청평면 청평중앙로 39-1,127.4187276,37.7378553
가평군,청평면,청평초등학교병설유치원,031-585-0245,유치원,공립,12452,경기도 가평군 청평면 청평리 395번지 청평초등학교 청평초등학교 병설유치원,경기도 가평군 청평면 잠곡로 27,127.4215053,37.7375481
가평군,조종면,조종초등학교병설유치원,031-585-0584,유치원,공립,12437,경기도 가평군 조종면 현리 276번지 조종초등학교,경기도 가평군 조종면 조종새싹로 13-9,127.3487882,37.8209863
가평군,상면,율길초등학교병설유치원,031-584-6005,유치원,공립,12441,경기도 가평군 상면 율길리 454-1번지 율길초등학교,경기도 가평군 상면 청군로 2090,127.2883727,37.8374552
가평군,상면,연하초등학교병설유치원,031-585-2006,유치원,공립,12444,경기도 가평군 상면 연하리 452-1번지 연하초등학교병설유치원,경기도 가평군 상면 비룡로 2199-19,127.3426748,37.8029852
가평군,청평면,상천초등학교병설유치원,031-585-1366,유치원,공립,12449,경기도 가평군 청평면 상천리 1299-4번지 상천초등학교,경기도 가평군 청평면 상천역로19번길 38,127.4559453,37.7706027
가평군,가평읍,상색초등학교병설유치원,031-582-2251,유치원,공립,12426,경기도 가평군 가평읍 상색리 171-2번지 상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,127.4848848,37.8051831
가평군,상면,상면초등학교병설유치원,031-584-2927,유치원,공립,12447,경기도 가평군 상면 임초리 445-3번지 상면초등학교,경기도 가평군 상면 청군로 700-22,127.3711993,37.7757901
가평군,설악면,방일초등학교병설유치원,031-585-4661,유치원,공립,12472,경기도 가평군 설악면 방일리 50번지 방일초등학교,경기도 가평군 설악면 양방가루재길 76,127.4993897,37.629095
가평군,설악면,미원초등학교병설유치원,031-584-8718,유치원,공립,12465,경기도 가평군 설악면 신천리 439-2번지 미원초등학교 미원초등학교 병설유치원,경기도 가평군 설악면 신천중앙로120번길 11,127.4901687,37.6794161
가평군,북면,목동초등학교병설유치원,031-582-0563,유치원,공립,12407,경기도 가평군 북면 이곡리 13-45번지 가평농어촌현대화시범학교 13-45,경기도 가평군 북면 석장모루길 13,127.5486018,37.8797004
가평군,청평면,대성초등학교병설유치원,031-584-0794,유치원,공립,12457,경기도 가평군 청평면 대성리 399-16번지 대성초등학교,경기도 가평군 청평면 경춘로 75,127.3775632,37.6827196
가평군,가평읍,가평유치원,031-582-4982,유치원,공립,12417,경기도 가평군 가평읍 읍내리 553번지 가평유치원 가평유치원,경기도 가평군 가평읍 향교로 23-3,127.5075514,37.8304855
가평군,가평읍,가평마장초등학교병설유치원,031-581-2755,유치원,공립,12409,경기도 가평군 가평읍 마장리 357번지 마장초등학교,경기도 가평군 가평읍 각담말길 15,127.5144681,37.8599522
가평군,설악면,청심유치원,031-589-9900,유치원,사립,12466,경기도 가평군 설악면 선촌리 41-6번지,경기도 가평군 설악면 미사리로 1,127.4932536,37.6865299
가평군,조종면,맹호어린이집,031-585-1133,어린이집,직장,12438,경기도 가평군 조종면 현리 413-11번지 맹호어린이집,경기도 가평군 조종면 청군로 1208 맹호어린이집,127.3511013,37.8136769
가평군,조종면,꿈에그린어린이집,031-585-1002,어린이집,직장,12438,경기도 가평군 조종면 현리 477-21번지 꿈에그린어린이집,경기도 가평군 조종면 청군로 1149 꿈에그린어린이집,127.3515293,37.8081582
가평군,상면,보람어린이집,031-585-6543,어린이집,사회복지법인,12445,경기도 가평군 상면 항사리 546-1번지,경기도 가평군 상면 청군로 961-41,127.3631278,37.797434
가평군,청평면,청평어린이집,031-584-0237,어린이집,법인·단체,12452,경기도 가평군 청평면 청평리 349-2번지,경기도 가평군 청평면 잠곡로 59,127.425293,37.7378637
가평군,청평면,사랑의동산어린이집,031-584-6057,어린이집,법인·단체,12452,경기도 가평군 청평면 청평리 470-12번지 사랑의동산어린이집,경기도 가평군 청평면 청평중앙로 39-1 사랑의동산어린이집,127.4188496,37.737948
가평군,가평읍,환두레어린이집,031-582-8605,어린이집,민간,12416,경기도 가평군 가평읍 대곡리 442번지,경기도 가평군 가평읍 석봉로3번길 68-15,127.5043256,37.8219282
가평군,가평읍,홍익어린이집,031-581-2662,어린이집,민간,12417,경기도 가평군 가평읍 대곡리 285-13번지,경기도 가평군 가평읍 석봉로153번길 16,127.5095059,37.8287027
가평군,조종면,또래아이사랑어린이집,031-585-0373,어린이집,민간,12437,경기도 가평군 조종면 현리 232-3번지,경기도 가평군 조종면 조종새싹로 49,127.3485374,37.8229535
가평군,조종면,ABC어린이집,031-585-0547,어린이집,기정,12437,경기도 가평군 조종면 현리 233-7번지 차인빌딩,경기도 가평군 조종면 조종희망로 67,127.3494451,37.822749
가평군,조종면,조종어린이집,031-585-1105,어린이집,국공립,12437,경기도 가평군 조종면 현리 567-7번지 조종어린이집,경기도 가평군 조종면 조종희망로26번길 25 조종어린이집,127.353524,37.8187654
가평군,가평읍,가평어린이집,031-582-3069,어린이집,국공립,12413,경기도 가평군 가평읍 가화로163,경기도 가평군 가평읍 가화로 163 경기도 가평군 가평읍 가화로163,127.5110176,37.8337847
가평군,청평면,청구어린이집,031-584-0523,어린이집,가정,12451,경기도 가평군 청평면 청평리 470-37번지 청구아파트 101동 103호,경기도 가평군 청평면 경춘로 819-21 청구아파트 101동 103호,127.4174964,37.7386051
가평군,청평면,앙쥬어린이집,031-584-3955,어린이집,가정,12454,경기도 가평군 청평면 청평리 837번지 쉐르빌아파트 103동 101호,경기도 가평군 청평면 강변나루로 54 쉐르빌아파트 103동 101호,127.4161247,37.732714
가평군,가평읍,해든나라어린이집,031-582-5795,어린이집,민간,12416,경기도 가평군 가평읍 대곡리 310-3번지,경기도 가평군 가평읍 석봉로119번길 23-11,127.5094509,37.825337
가평군,청평면,해맑은어린이집,031-584-0661,어린이집,민간,12454,경기도 가평군 청평면 청평리 837번지 청평삼성쉐르빌 관리동,경기도 가평군 강변나루로 54 청평삼성쉐르빌 관리동,127.4161247,37.732714
가평군,청평면,통큰에듀파크어린이집,031-585-8745,어린이집,민간,12454,경기도 가평군 청평면 청평리 626-10번지,경기도 가평군 청평면 구청평로 58,127.4137961,37.7325673
