어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
리틀동화마을어린이집,경기도,가평군,가정,20,6,경기도 가평군 설악면 신천중앙로120번길 20-39 에코빌 나동 102호,031-584-2513,031-584-2513,20,6,4,Y,http://www.childcare.go.kr/,2017-04-20
맹호어린이집,경기도,가평군,직장,73,10,경기도 가평군 조종면 청군로 1208 맹호어린이집,031-585-1133,031-585-1133,73,10,8,N,http://www.childcare.go.kr/,2017-04-20
꿈에그린어린이집,경기도,가평군,직장,30,7,경기도 가평군 조종면 청군로 1149 꿈에그린어린이집,031-585-1002,031-585-1002,30,7,10,N,http://www.childcare.go.kr/,2017-04-20
보람어린이집,경기도,가평군,사회복지법인,74,10,경기도 가평군 상면 청군로 961-41,031-585-6543,031-585-6543,74,10,13,Y,http://www.childcare.go.kr/,2017-04-20
청평어린이집,경기도,가평군,법인·단체,50,6,경기도 가평군 청평면 잠곡로 59,031-584-0237,031-584-0237,50,6,8,Y,http://www.childcare.go.kr/,2017-04-20
사랑의동산어린이집,경기도,가평군,법인·단체,50,8,경기도 가평군 청평면 청평중앙로 39-1 사랑의동산어린이집,031-584-6057,031-584-6057,50,8,12,Y,http://www.childcare.go.kr/,2017-04-20
환두레어린이집,경기도,가평군,민간,80,12,경기도 가평군 가평읍 석봉로3번길 68-15,031-582-8605,031-582-8605,80,12,11,Y,http://www.childcare.go.kr/,2017-04-20
홍익어린이집,경기도,가평군,민간,98,17,경기도 가평군 가평읍 석봉로153번길 16,031-581-2662,031-581-2662,98,17,13,Y,http://www.childcare.go.kr/,2017-04-20
또래아이사랑어린이집,경기도,가평군,민간,91,13,경기도 가평군 조종면 조종새싹로 49,031-585-0373,031-585-0373,91,13,15,Y,http://www.childcare.go.kr/,2017-04-20
ABC어린이집,경기도,가평군,기정,20,5,경기도 가평군 조종면 조종희망로 67,031-585-0547,031-585-0547,23,5,4,Y,http://www.childcare.go.kr/,2017-04-20
조종어린이집,경기도,가평군,국공립,59,8,경기도 가평군 조종면 조종희망로26번길 25 조종어린이집,031-585-1105,031-585-1105,59,8,8,Y,http://www.childcare.go.kr/,2017-04-20
가평어린이집,경기도,가평군,국공립,72,12,경기도 가평군 가평읍 가화로 163 경기도 가평군 가평읍 가화로163,031-582-3069,031-582-3069,72,12,8,N,http://www.childcare.go.kr/,2017-04-20
청구어린이집,경기도,가평군,가정,19,4,경기도 가평군 청평면 경춘로 819-21 청구아파트 101동 103호,031-584-0523,031-584-0523,19,4,4,N,http://www.childcare.go.kr/,2017-04-20
앙쥬어린이집,경기도,가평군,가정,19,4,경기도 가평군 청평면 강변나루로 54 쉐르빌아파트 103동 101호,031-584-3955,031-584-3955,19,4,4,Y,http://www.childcare.go.kr/,2017-04-20
해든나라어린이집,경기도,가평군,민간,27,6,경기도 가평군 가평읍 석봉로119번길 23-11,031-582-5795,031-582-5795,27,6,5,Y,http://www.childcare.go.kr/,2017-04-20
해맑은어린이집,경기도,가평군,민간,28,6,경기도 가평군 강변나루로 54 청평삼성쉐르빌 관리동,031-584-0661,031-584-0661,28,6,4,N,http://www.childcare.go.kr/,2017-04-20
통큰에듀파크어린이집,경기도,가평군,민간,135,15,경기도 가평군 청평면 구청평로 58,031-585-8745,031-585-8745,135,15,16,Y,http://www.childcare.go.kr/,2017-04-20
