시군명,시설명,전화번호,홈페이지주소,팩스번호,설립구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
가평군,청심유치원,031-589-9900,http://cp.hopeschool.co.kr,031-589-9917,사립,12466,경기도 가평군 설악면 선촌리 41-6번지,경기도 가평군 설악면 미사리로 1,127.4932536,37.6865299
가평군,상천에덴유치원,031-581-0079,,031-581-7900,사립,12449,경기도 가평군 청평면 상천리 298-3번지 상천에덴어린이집,경기도 가평군 청평면 경춘로 1410,127.4620604,37.7757144
가평군,동산유치원,031-584-6057,,031-584-7057,사립,12452,경기도 가평군 청평면 청평리 470-12번지 청평장로교회,경기도 가평군 청평면 청평중앙로 39-1,127.4187276,37.7378553
가평군,청평초등학교병설유치원,031-585-0245,http://chongpyoung.es.kr,031-584-0282,공립,12452,경기도 가평군 청평면 청평리 395번지 청평초등학교 청평초등학교 병설유치원,경기도 가평군 청평면 잠곡로 27,127.4215053,37.7375481
가평군,조종초등학교병설유치원,031-585-0584,http://www.jojong.es.kr/,031-584-2337,공립,12437,경기도 가평군 조종면 현리 276번지 조종초등학교,경기도 가평군 조종면 조종새싹로 13-9,127.3487882,37.8209863
가평군,율길초등학교병설유치원,031-584-6005,http://www.yulgil.es.kr,031-585-4371,공립,12441,경기도 가평군 상면 율길리 454-1번지 율길초등학교,경기도 가평군 상면 청군로 2090,127.2883727,37.8374552
가평군,연하초등학교병설유치원,031-585-2006,http://yhe.es.kr,031-585-1723,공립,12444,경기도 가평군 상면 연하리 452-1번지 연하초등학교병설유치원,경기도 가평군 상면 비룡로 2199-19,127.3426748,37.8029852
가평군,상천초등학교병설유치원,031-585-1366,http://sang1000,031-585-1365,공립,12449,경기도 가평군 청평면 상천리 1299-4번지 상천초등학교,경기도 가평군 청평면 상천역로19번길 38,127.4559453,37.7706027
가평군,상색초등학교병설유치원,031-582-2251,http://211.251.189.200/yuchiwon,031-582-4308,공립,12426,경기도 가평군 가평읍 상색리 171-2번지 상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,127.4848848,37.8051831
가평군,상면초등학교병설유치원,031-584-2927,http://www.sangmyun.es.kr,031-584-2927,공립,12447,경기도 가평군 상면 임초리 445-3번지 상면초등학교,경기도 가평군 상면 청군로 700-22,127.3711993,37.7757901
가평군,방일초등학교병설유치원,031-585-4661,http://www.bangil.es.kr,031-584-4108,공립,12472,경기도 가평군 설악면 방일리 50번지 방일초등학교,경기도 가평군 설악면 양방가루재길 76,127.4993897,37.629095
가평군,미원초등학교병설유치원,031-584-8718,http://miwon.es.kr,031-584-7316,공립,12465,경기도 가평군 설악면 신천리 439-2번지 미원초등학교 미원초등학교 병설유치원,경기도 가평군 설악면 신천중앙로120번길 11,127.4901687,37.6794161
가평군,목동초등학교병설유치원,031-582-0563,http://www.mokdong.es.kr,031-582-9902,공립,12407,경기도 가평군 북면 이곡리 13-45번지 가평농어촌현대화시범학교 13-45,경기도 가평군 북면 석장모루길 13,127.5486018,37.8797004
