"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07,2015,2015,2015,2016,2016,2016
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","소계",0세,95571,49244,46327,111355,56850,54505,104099,53261,50838
"경기도","소계",1세,115293,58807,56486,116728,59529,57199,119264,60957,58307
"경기도","소계",2세,121641,62324,59317,118171,60722,57449,119772,61201,58571
"경기도","소계",3세,120199,61566,58633,132736,68032,64704,120371,61767,58604
"경기도","소계",4세,128350,65828,62522,130026,66671,63355,134576,68994,65582
"경기도","소계",5세,132566,67998,64568,129738,66789,62949,131257,67318,63939
"경기도","소계",6세,135529,69624,65905,123405,63518,59887,130885,67355,63530
"경기도","소계",7세,125439,64428,61011,129486,66551,62935,124285,63913,60372
"경기도","수원시",0세,9555,4989,4566,11686,5970,5716,10595,5428,5167
"경기도","수원시",1세,11538,5927,5611,11549,5923,5626,11918,6118,5800
"경기도","수원시",2세,11812,6105,5707,11658,5981,5677,11495,5914,5581
"경기도","수원시",3세,11327,5827,5500,12860,6563,6297,11451,5909,5542
"경기도","수원시",4세,12107,6243,5864,12098,6262,5836,12698,6478,6220
"경기도","수원시",5세,12055,6187,5868,11998,6220,5778,12004,6219,5785
"경기도","수원시",6세,12250,6344,5906,11442,5876,5566,11873,6150,5723
"경기도","수원시",7세,11306,5813,5493,11962,6137,5825,11330,5805,5525
"경기도","장안구",0세,1834,963,871,2444,1261,1183,2042,1038,1004
"경기도","장안구",1세,2289,1140,1149,2416,1292,1124,2470,1268,1202
"경기도","장안구",2세,2440,1296,1144,2553,1315,1238,2396,1277,1119
"경기도","장안구",3세,2378,1260,1118,2776,1368,1408,2495,1308,1187
"경기도","장안구",4세,2636,1370,1266,2826,1466,1360,2729,1351,1378
"경기도","장안구",5세,2667,1327,1340,2811,1490,1321,2793,1459,1334
"경기도","장안구",6세,2804,1487,1317,2801,1410,1391,2767,1458,1309
"경기도","장안구",7세,2673,1359,1314,3005,1528,1477,2731,1371,1360
"경기도","권선구",0세,3159,1622,1537,3643,1855,1788,3496,1801,1695
"경기도","권선구",1세,3800,1990,1810,3653,1848,1805,3848,1969,1879
"경기도","권선구",2세,3819,1965,1854,3689,1853,1836,3723,1878,1845
"경기도","권선구",3세,3723,1862,1861,4057,2094,1963,3716,1853,1863
"경기도","권선구",4세,3938,2015,1923,3726,1935,1791,4108,2136,1972
"경기도","권선구",5세,3819,1986,1833,3601,1829,1772,3726,1954,1772
"경기도","권선구",6세,3784,1922,1862,3262,1667,1595,3569,1821,1748
"경기도","권선구",7세,3272,1672,1600,3345,1741,1604,3267,1671,1596
"경기도","팔달구",0세,1250,646,604,1538,807,731,1407,714,693
"경기도","팔달구",1세,1452,742,710,1538,777,761,1486,774,712
"경기도","팔달구",2세,1463,760,703,1510,809,701,1497,770,727
"경기도","팔달구",3세,1369,714,655,1680,874,806,1422,758,664
"경기도","팔달구",4세,1475,753,722,1536,805,731,1588,812,776
"경기도","팔달구",5세,1439,743,696,1562,828,734,1479,766,713
"경기도","팔달구",6세,1465,782,683,1427,758,669,1465,772,693
"경기도","팔달구",7세,1401,726,675,1520,781,739,1391,744,647
"경기도","영통구",0세,3312,1758,1554,4061,2047,2014,3650,1875,1775
"경기도","영통구",1세,3997,2055,1942,3942,2006,1936,4114,2107,2007
"경기도","영통구",2세,4090,2084,2006,3906,2004,1902,3879,1989,1890
"경기도","영통구",3세,3857,1991,1866,4347,2227,2120,3818,1990,1828
"경기도","영통구",4세,4058,2105,1953,4010,2056,1954,4273,2179,2094
"경기도","영통구",5세,4130,2131,1999,4024,2073,1951,4006,2040,1966
"경기도","영통구",6세,4197,2153,2044,3952,2041,1911,4072,2099,1973
"경기도","영통구",7세,3960,2056,1904,4092,2087,2005,3941,2019,1922
"경기도","성남시",0세,7041,3642,3399,8328,4237,4091,7587,3879,3708
"경기도","성남시",1세,7796,4009,3787,8023,4018,4005,8265,4208,4057
"경기도","성남시",2세,8057,4100,3957,8053,4091,3962,8004,4024,3980
"경기도","성남시",3세,7980,4066,3914,8490,4475,4015,8062,4091,3971
"경기도","성남시",4세,8457,4351,4106,8364,4373,3991,8519,4466,4053
"경기도","성남시",5세,8394,4412,3982,8447,4370,4077,8466,4409,4057
"경기도","성남시",6세,8831,4534,4297,7942,4045,3897,8629,4405,4224
"경기도","성남시",7세,8198,4153,4045,8339,4294,4045,8042,4091,3951
"경기도","수정구",0세,1706,858,848,1752,863,889,1743,891,852
"경기도","수정구",1세,1758,890,868,1687,843,844,1783,874,909
