"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","소계",0세,95571,49244,46327
"경기도","소계",1세,115293,58807,56486
"경기도","소계",2세,121641,62324,59317
"경기도","소계",3세,120199,61566,58633
"경기도","소계",4세,128350,65828,62522
"경기도","소계",5세,132566,67998,64568
"경기도","소계",6세,135529,69624,65905
"경기도","소계",7세,125439,64428,61011
"경기도","수원시",0세,9555,4989,4566
"경기도","수원시",1세,11538,5927,5611
"경기도","수원시",2세,11812,6105,5707
"경기도","수원시",3세,11327,5827,5500
"경기도","수원시",4세,12107,6243,5864
"경기도","수원시",5세,12055,6187,5868
"경기도","수원시",6세,12250,6344,5906
"경기도","수원시",7세,11306,5813,5493
"경기도","장안구",0세,1834,963,871
"경기도","장안구",1세,2289,1140,1149
"경기도","장안구",2세,2440,1296,1144
"경기도","장안구",3세,2378,1260,1118
"경기도","장안구",4세,2636,1370,1266
"경기도","장안구",5세,2667,1327,1340
"경기도","장안구",6세,2804,1487,1317
"경기도","장안구",7세,2673,1359,1314
"경기도","권선구",0세,3159,1622,1537
"경기도","권선구",1세,3800,1990,1810
"경기도","권선구",2세,3819,1965,1854
"경기도","권선구",3세,3723,1862,1861
"경기도","권선구",4세,3938,2015,1923
"경기도","권선구",5세,3819,1986,1833
"경기도","권선구",6세,3784,1922,1862
"경기도","권선구",7세,3272,1672,1600
"경기도","팔달구",0세,1250,646,604
"경기도","팔달구",1세,1452,742,710
"경기도","팔달구",2세,1463,760,703
"경기도","팔달구",3세,1369,714,655
"경기도","팔달구",4세,1475,753,722
"경기도","팔달구",5세,1439,743,696
"경기도","팔달구",6세,1465,782,683
"경기도","팔달구",7세,1401,726,675
"경기도","영통구",0세,3312,1758,1554
"경기도","영통구",1세,3997,2055,1942
"경기도","영통구",2세,4090,2084,2006
"경기도","영통구",3세,3857,1991,1866
"경기도","영통구",4세,4058,2105,1953
"경기도","영통구",5세,4130,2131,1999
"경기도","영통구",6세,4197,2153,2044
"경기도","영통구",7세,3960,2056,1904
"경기도","성남시",0세,7041,3642,3399
"경기도","성남시",1세,7796,4009,3787
"경기도","성남시",2세,8057,4100,3957
"경기도","성남시",3세,7980,4066,3914
"경기도","성남시",4세,8457,4351,4106
"경기도","성남시",5세,8394,4412,3982
"경기도","성남시",6세,8831,4534,4297
"경기도","성남시",7세,8198,4153,4045
"경기도","수정구",0세,1706,858,848
"경기도","수정구",1세,1758,890,868
"경기도","수정구",2세,1790,882,908
"경기도","수정구",3세,1768,917,851
"경기도","수정구",4세,1804,925,879
"경기도","수정구",5세,1734,916,818
"경기도","수정구",6세,1817,909,908
"경기도","수정구",7세,1710,853,857
"경기도","중원구",0세,1566,856,710
"경기도","중원구",1세,1764,911,853
"경기도","중원구",2세,1863,961,902
"경기도","중원구",3세,1752,894,858
"경기도","중원구",4세,1785,930,855
"경기도","중원구",5세,1826,967,859
"경기도","중원구",6세,1910,1007,903
"경기도","중원구",7세,1626,819,807
"경기도","분당구",0세,3769,1928,1841
"경기도","분당구",1세,4274,2208,2066
"경기도","분당구",2세,4404,2257,2147
"경기도","분당구",3세,4460,2255,2205
"경기도","분당구",4세,4868,2496,2372
"경기도","분당구",5세,4834,2529,2305
"경기도","분당구",6세,5104,2618,2486
"경기도","분당구",7세,4862,2481,2381
"경기도","의정부시",0세,2693,1398,1295
"경기도","의정부시",1세,3310,1660,1650
"경기도","의정부시",2세,3590,1831,1759
"경기도","의정부시",3세,3505,1822,1683
"경기도","의정부시",4세,3768,1921,1847
"경기도","의정부시",5세,4004,2026,1978
"경기도","의정부시",6세,3933,2050,1883
"경기도","의정부시",7세,3794,1944,1850
"경기도","안양시",0세,4155,2147,2008
"경기도","안양시",1세,4831,2445,2386
"경기도","안양시",2세,4984,2509,2475
"경기도","안양시",3세,4851,2451,2400
"경기도","안양시",4세,4823,2448,2375
"경기도","안양시",5세,5237,2733,2504
"경기도","안양시",6세,5279,2708,2571
"경기도","안양시",7세,4857,2490,2367
"경기도","만안구",0세,1765,904,861
"경기도","만안구",1세,2090,1034,1056
"경기도","만안구",2세,2087,1063,1024
"경기도","만안구",3세,2029,1021,1008
"경기도","만안구",4세,1943,989,954
"경기도","만안구",5세,2050,1074,976
"경기도","만안구",6세,1981,1029,952
"경기도","만안구",7세,1803,934,869
"경기도","동안구",0세,2390,1243,1147
"경기도","동안구",1세,2741,1411,1330
"경기도","동안구",2세,2897,1446,1451
"경기도","동안구",3세,2822,1430,1392
"경기도","동안구",4세,2880,1459,1421
"경기도","동안구",5세,3187,1659,1528
"경기도","동안구",6세,3298,1679,1619
"경기도","동안구",7세,3054,1556,1498
"경기도","부천시",0세,5972,3065,2907
"경기도","부천시",1세,6724,3465,3259
"경기도","부천시",2세,7057,3602,3455
"경기도","부천시",3세,6803,3473,3330
"경기도","부천시",4세,7193,3718,3475
"경기도","부천시",5세,7352,3764,3588
"경기도","부천시",6세,7377,3755,3622
"경기도","부천시",7세,6825,3498,3327
"경기도","광명시",0세,2396,1253,1143
"경기도","광명시",1세,2921,1511,1410
"경기도","광명시",2세,2971,1521,1450
"경기도","광명시",3세,2956,1521,1435
"경기도","광명시",4세,3143,1612,1531
"경기도","광명시",5세,3371,1756,1615
"경기도","광명시",6세,3425,1762,1663
"경기도","광명시",7세,3156,1646,1510
"경기도","평택시",0세,3802,1973,1829
"경기도","평택시",1세,4579,2330,2249
"경기도","평택시",2세,4810,2485,2325
"경기도","평택시",3세,4660,2368,2292
"경기도","평택시",4세,4865,2432,2433
"경기도","평택시",5세,5011,2597,2414
"경기도","평택시",6세,5270,2705,2565
"경기도","평택시",7세,4801,2496,2305
"경기도","동두천시",0세,613,323,290
"경기도","동두천시",1세,711,362,349
"경기도","동두천시",2세,788,405,383
"경기도","동두천시",3세,780,409,371
"경기도","동두천시",4세,859,419,440
"경기도","동두천시",5세,870,456,414
"경기도","동두천시",6세,947,510,437
"경기도","동두천시",7세,905,456,449
"경기도","안산시",0세,4484,2361,2123
"경기도","안산시",1세,5160,2570,2590
"경기도","안산시",2세,5641,2805,2836
"경기도","안산시",3세,5390,2753,2637
"경기도","안산시",4세,5714,2894,2820
"경기도","안산시",5세,5962,2962,3000
"경기도","안산시",6세,6205,3154,3051
"경기도","안산시",7세,5783,2960,2823
"경기도","상록구",0세,2509,1322,1187
"경기도","상록구",1세,2937,1460,1477
"경기도","상록구",2세,3201,1638,1563
"경기도","상록구",3세,2918,1504,1414
"경기도","상록구",4세,3120,1576,1544
"경기도","상록구",5세,3230,1614,1616
"경기도","상록구",6세,3299,1677,1622
"경기도","상록구",7세,3087,1562,1525
"경기도","단원구",0세,1975,1039,936
"경기도","단원구",1세,2223,1110,1113
"경기도","단원구",2세,2440,1167,1273
"경기도","단원구",3세,2472,1249,1223
"경기도","단원구",4세,2594,1318,1276
"경기도","단원구",5세,2732,1348,1384
"경기도","단원구",6세,2906,1477,1429
"경기도","단원구",7세,2696,1398,1298
"경기도","고양시",0세,6728,3462,3266
"경기도","고양시",1세,8193,4182,4011
"경기도","고양시",2세,8841,4549,4292
"경기도","고양시",3세,8546,4375,4171
"경기도","고양시",4세,9329,4782,4547
"경기도","고양시",5세,9724,5004,4720
"경기도","고양시",6세,10036,5157,4879
"경기도","고양시",7세,9346,4826,4520
"경기도","덕양구",0세,3139,1613,1526
"경기도","덕양구",1세,3813,1942,1871
"경기도","덕양구",2세,4142,2111,2031
"경기도","덕양구",3세,3934,1987,1947
"경기도","덕양구",4세,4229,2197,2032
"경기도","덕양구",5세,4423,2251,2172
"경기도","덕양구",6세,4463,2317,2146
"경기도","덕양구",7세,4059,2115,1944
"경기도","일산동구",0세,1784,940,844
"경기도","일산동구",1세,2027,1051,976
"경기도","일산동구",2세,2219,1166,1053
"경기도","일산동구",3세,2195,1102,1093
"경기도","일산동구",4세,2344,1209,1135
"경기도","일산동구",5세,2447,1266,1181
"경기도","일산동구",6세,2644,1316,1328
"경기도","일산동구",7세,2490,1280,1210
"경기도","일산서구",0세,1805,909,896
"경기도","일산서구",1세,2353,1189,1164
